trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1822,False,"{'a': 0.7, 'e': 0.1615546816127523}",20,0,22.343568584779646,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
1823,False,"{'a': 0.7, 'e': 0.16139312693113955}",25,0,24.306504440458376,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1824,False,"{'a': 0.7, 'e': 0.1612317338042084}",20,6,3.2562121698364104,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1825,False,"{'a': 0.7, 'e': 0.16107050207040421}",25,8,32.86189271764901,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1826,False,"{'a': 0.7, 'e': 0.1609094315683338}",20,0,-16.212779738522276,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1827,False,"{'a': 0.7, 'e': 0.16074852213676546}",30,16,27.496625563994215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1828,False,"{'a': 0.7, 'e': 0.1605877736146287}",25,20,8.704611173148656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1829,False,"{'a': 0.7, 'e': 0.16042718584101406}",20,12,-30.5095761892453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1830,False,"{'a': 0.7, 'e': 0.16026675865517306}",25,5,18.070387245943344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1831,False,"{'a': 0.7, 'e': 0.16010649189651788}",25,0,19.26693039110361,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
1832,False,"{'a': 0.7, 'e': 0.15994638540462136}",20,0,32.78721629561652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1833,False,"{'a': 0.7, 'e': 0.15978643901921674}",20,2,-10.91580877719515,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
1834,False,"{'a': 0.7, 'e': 0.15962665258019754}",25,11,22.050295293105975,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1835,False,"{'a': 0.7, 'e': 0.15946702592761733}",25,19,10.474374193221063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1836,False,"{'a': 0.7, 'e': 0.1593075589016897}",30,19,11.59027656863779,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1837,False,"{'a': 0.7, 'e': 0.15914825134278804}",20,11,12.847463891009108,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1838,False,"{'a': 0.7, 'e': 0.15898910309144523}",35,22,2.3787987967271187,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1839,False,"{'a': 0.7, 'e': 0.15883011398835378}",20,9,7.883889493072855,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1840,False,"{'a': 0.7, 'e': 0.15867128387436544}",25,15,20.513336429777844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1841,False,"{'a': 0.7, 'e': 0.15851261259049107}",20,13,-19.1007499215991,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
1842,False,"{'a': 0.7, 'e': 0.15835409997790056}",25,15,-3.8520883439216687,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1843,False,"{'a': 0.7, 'e': 0.15819574587792268}",20,14,10.108873629997493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1844,False,"{'a': 0.7, 'e': 0.15803755013204476}",25,14,9.0076494364334,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1845,False,"{'a': 0.7, 'e': 0.1578795125819127}",25,7,7.204449502626084,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1846,False,"{'a': 0.7, 'e': 0.1577216330693308}",30,13,28.846222070988894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1847,False,"{'a': 0.7, 'e': 0.15756391143626147}",30,0,45.532311735994,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1848,False,"{'a': 0.7, 'e': 0.1574063475248252}",25,6,22.83396249850026,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1849,False,"{'a': 0.7, 'e': 0.15724894117730037}",20,8,10.221324438246484,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1850,False,"{'a': 0.7, 'e': 0.15709169223612307}",25,9,-25.68826568800846,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1851,False,"{'a': 0.7, 'e': 0.15693460054388697}",20,2,7.347663114323491,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1852,False,"{'a': 0.7, 'e': 0.15677766594334308}",20,14,12.349850472451736,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1853,False,"{'a': 0.7, 'e': 0.15662088827739973}",30,0,22.352438797740177,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
1854,False,"{'a': 0.7, 'e': 0.15646426738912234}",25,14,19.9614754029781,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1855,False,"{'a': 0.7, 'e': 0.1563078031217332}",25,12,-31.832095002665923,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1856,False,"{'a': 0.7, 'e': 0.15615149531861147}",30,0,38.20087761354677,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1857,False,"{'a': 0.7, 'e': 0.15599534382329286}",25,3,34.202566928758785,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1858,False,"{'a': 0.7, 'e': 0.15583934847946956}",25,3,37.793843963702706,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1859,False,"{'a': 0.7, 'e': 0.1556835091309901}",25,15,20.030856608815274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1860,False,"{'a': 0.7, 'e': 0.1555278256218591}",20,11,3.6047699988869533,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1861,False,"{'a': 0.7, 'e': 0.15537229779623724}",20,9,24.986375496950153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1862,False,"{'a': 0.7, 'e': 0.15521692549844102}",30,9,-61.96174942990251,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
1863,False,"{'a': 0.7, 'e': 0.15506170857294257}",25,15,17.177861014025876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1864,False,"{'a': 0.7, 'e': 0.1549066468643696}",20,11,-36.26524419910804,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
1865,False,"{'a': 0.7, 'e': 0.15475174021750526}",20,3,29.433994885274636,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1866,False,"{'a': 0.7, 'e': 0.15459698847728776}",20,0,34.83906766849874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1867,False,"{'a': 0.7, 'e': 0.15444239148881045}",20,12,15.579770266898533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1868,False,"{'a': 0.7, 'e': 0.15428794909732166}",20,8,22.745707634146616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1869,False,"{'a': 0.7, 'e': 0.15413366114822433}",20,9,20.09886173035667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1870,False,"{'a': 0.7, 'e': 0.1539795274870761}",25,13,18.958872478871342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1871,False,"{'a': 0.7, 'e': 0.15382554795958903}",30,14,-4.209112322091367,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1872,False,"{'a': 0.7, 'e': 0.15367172241162944}",25,6,32.37413134040307,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1873,False,"{'a': 0.7, 'e': 0.1535180506892178}",20,11,13.086647276541303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1874,False,"{'a': 0.7, 'e': 0.1533645326385286}",20,0,-36.22970255259066,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
1875,False,"{'a': 0.7, 'e': 0.15321116810589006}",20,6,28.052370608997116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1876,False,"{'a': 0.7, 'e': 0.15305795693778418}",20,7,0.7139047547041373,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
1877,False,"{'a': 0.7, 'e': 0.1529048989808464}",20,6,23.39269808538787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1878,False,"{'a': 0.7, 'e': 0.15275199408186554}",20,8,22.79525986878666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1879,False,"{'a': 0.7, 'e': 0.1525992420877837}",20,5,-6.368909327917864,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
1880,False,"{'a': 0.7, 'e': 0.1524466428456959}",20,5,1.634786276072692,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1881,False,"{'a': 0.7, 'e': 0.1522941962028502}",25,8,29.337112823158375,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1882,False,"{'a': 0.7, 'e': 0.15214190200664734}",20,13,15.924748268354168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1883,False,"{'a': 0.7, 'e': 0.1519897601046407}",20,13,13.930216313569671,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1884,False,"{'a': 0.7, 'e': 0.15183777034453605}",20,0,-9.489281811282776,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1885,False,"{'a': 0.7, 'e': 0.15168593257419152}",25,0,-0.017287470119791593,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
1886,False,"{'a': 0.7, 'e': 0.15153424664161733}",25,7,-22.73845169219777,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1887,False,"{'a': 0.7, 'e': 0.15138271239497572}",20,1,-36.991937399952654,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
1888,False,"{'a': 0.7, 'e': 0.15123132968258074}",20,4,29.529135793342427,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1889,False,"{'a': 0.7, 'e': 0.15108009835289815}",20,2,6.121619036379047,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1890,False,"{'a': 0.7, 'e': 0.15092901825454527}",25,18,14.338882971500357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1891,False,"{'a': 0.7, 'e': 0.1507780892362907}",25,13,24.688098894953026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1892,False,"{'a': 0.7, 'e': 0.15062731114705444}",30,12,37.24921743099152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1893,False,"{'a': 0.7, 'e': 0.15047668383590737}",20,6,23.159121437825505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1894,False,"{'a': 0.7, 'e': 0.15032620715207146}",20,0,28.369167841220733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1895,False,"{'a': 0.7, 'e': 0.1501758809449194}",20,16,6.676149718874854,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1896,False,"{'a': 0.7, 'e': 0.15002570506397447}",25,15,20.553021764183462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1897,False,"{'a': 0.7, 'e': 0.1498756793589105}",20,15,8.505504709073604,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1898,False,"{'a': 0.7, 'e': 0.1497258036795516}",20,2,18.194028659155943,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1899,False,"{'a': 0.7, 'e': 0.14957607787587204}",25,19,9.20497815120787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1900,False,"{'a': 0.7, 'e': 0.14942650179799616}",25,11,22.97826036564841,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1901,False,"{'a': 0.7, 'e': 0.14927707529619816}",20,12,15.19483069644177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1902,False,"{'a': 0.7, 'e': 0.14912779822090197}",20,0,13.336073254525143,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1903,False,"{'a': 0.7, 'e': 0.14897867042268106}",20,8,22.990520082975884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1904,False,"{'a': 0.7, 'e': 0.14882969175225838}",20,13,7.753467351753563,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1905,False,"{'a': 0.7, 'e': 0.14868086206050612}",25,15,17.8550635027009,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1906,False,"{'a': 0.7, 'e': 0.1485321811984456}",25,15,17.2119078494625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1907,False,"{'a': 0.7, 'e': 0.14838364901724718}",30,17,2.589837345618327,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1908,False,"{'a': 0.7, 'e': 0.14823526536822992}",25,8,3.6917265885922843,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1909,False,"{'a': 0.7, 'e': 0.1480870301028617}",25,17,14.584841305585508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1910,False,"{'a': 0.7, 'e': 0.14793894307275884}",20,0,27.37713432141865,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1911,False,"{'a': 0.7, 'e': 0.14779100412968607}",20,0,2.9636973382142475,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1912,False,"{'a': 0.7, 'e': 0.1476432131255564}",20,5,12.450853099347151,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1913,False,"{'a': 0.7, 'e': 0.14749556991243082}",20,12,14.910780054947386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1914,False,"{'a': 0.7, 'e': 0.1473480743425184}",20,0,-18.51933906679707,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1915,False,"{'a': 0.7, 'e': 0.14720072626817587}",25,2,42.82851925675329,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
